Sample	theta_A	theta_B	theta_C	theta_D	theta_AB	theta_ABC	theta_root	tau_AB	tau_ABC	tau_root	m_D->B	Data-ld-ln	Full-ld-ln	Gene-ld-ln
41	 1.46875	 0.99703	 1.38652	 2.32206	 1.28523	 2.20491	 3.29615	 0.07633	 0.10587	 0.79226	21.87485	-1346.225646	-1401900.586048	55674.939710
42	 1.46350	 1.02959	 1.34254	 2.40428	 1.22481	 2.19703	 3.43825	 0.07606	 0.10549	 0.78943	21.59609	-1346.289647	-1401862.600264	55572.953493
43	 1.41305	 0.99779	 1.29822	 2.39789	 1.28235	 2.19119	 3.55618	 0.07586	 0.10521	 0.78733	21.17336	-1346.297083	-1401877.817809	55580.735060
44	 1.41158	 1.02198	 1.35206	 2.50236	 1.28102	 2.18891	 3.55248	 0.07578	 0.10510	 0.80848	20.84807	-1346.665186	-1401884.852497	55219.666055
45	 1.40724	 0.95413	 1.37856	 2.61828	 1.22200	 2.28885	 3.54155	 0.07555	 0.10478	 0.82879	21.57993	-1346.706076	-1401806.150287	55100.074553
46	 1.45156	 0.98428	 1.41068	 2.71890	 1.17619	 2.28885	 3.54155	 0.07555	 0.10478	 0.82879	21.90895	-1346.632081	-1401814.272981	55182.191768
47	 1.45156	 0.93038	 1.47081	 2.71890	 1.15082	 2.41544	 3.54155	 0.07555	 0.10478	 0.82879	22.67058	-1346.636825	-1401768.083278	55131.257983
48	 1.41757	 1.00651	 1.49997	 2.71890	 1.10588	 2.41544	 3.60597	 0.07555	 0.10478	 0.82879	23.03770	-1346.885272	-1401825.940716	54940.668713
49	 1.40418	 1.04280	 1.53982	 2.85978	 1.07709	 2.41544	 3.84191	 0.07555	 0.10478	 0.82879	23.56888	-1347.013064	-1401863.980951	54850.917367
50	 1.41765	 1.04514	 1.47321	 3.05051	 1.07952	 2.42087	 3.85055	 0.07572	 0.10501	 0.83065	23.12814	-1347.109887	-1401788.080713	54678.193923
51	 1.34692	 1.08713	 1.47996	 3.06449	 1.13016	 2.49790	 3.86820	 0.07606	 0.10549	 0.83446	23.18796	-1347.072816	-1401733.276119	54660.460578
52	 1.35092	 1.13376	 1.54837	 3.22918	 1.16651	 2.50532	 3.98972	 0.07629	 0.10581	 0.83694	22.59308	-1347.246593	-1401744.986657	54498.394137
53	 1.40382	 1.09665	 1.58285	 3.23326	 1.13287	 2.57890	 3.99476	 0.07638	 0.10594	 0.83800	22.21998	-1347.280997	-1401743.057937	54462.061049
54	 1.40862	 1.14157	 1.53532	 3.33809	 1.18653	 2.58772	 4.17967	 0.07665	 0.10630	 0.87614	21.68418	-1347.748054	-1401789.645269	54041.591462
55	 1.39955	 1.20037	 1.54053	 3.34942	 1.22067	 2.59650	 4.19385	 0.07691	 0.10666	 0.85241	22.13247	-1347.427259	-1401769.040086	54341.780679
56	 1.39595	 1.14866	 1.57078	 3.48479	 1.29959	 2.58981	 4.18305	 0.07671	 0.10639	 0.85021	21.74837	-1347.505011	-1401756.888498	54251.877627
57	 1.34896	 1.23219	 1.62948	 3.56227	 1.30338	 2.59737	 4.19526	 0.06794	 0.10228	 0.85269	21.17881	-1347.544774	-1401776.142835	54231.368809
58	 1.40040	 1.26417	 1.62523	 3.55296	 1.29998	 2.65947	 4.18431	 0.06776	 0.10201	 0.82529	21.49687	-1347.491536	-1401782.939213	54291.403248
59	 1.47710	 1.23721	 1.63009	 3.56134	 1.26341	 2.66742	 4.30864	 0.06796	 0.10232	 0.82776	20.96356	-1347.688938	-1401808.338897	54119.400904
60	 1.48204	 1.28760	 1.67960	 3.77007	 1.31071	 2.67635	 4.32306	 0.06819	 0.10266	 0.83053	21.29132	-1347.635867	-1401737.414314	54101.547631
61	 1.46457	 1.29197	 1.72271	 3.98286	 1.33903	 2.67987	 4.50588	 0.06828	 0.10280	 0.83162	20.65584	-1347.774481	-1401764.250357	53989.769669
62	 1.40244	 1.25172	 1.72839	 3.99601	 1.30039	 2.68872	 4.63081	 0.06851	 0.10727	 0.83437	20.05402	-1347.987339	-1401775.444790	53788.105431
63	 1.35658	 1.25641	 1.82593	 4.01098	 1.34892	 2.69879	 4.64816	 0.06876	 0.10768	 0.85397	19.83237	-1347.913116	-1401764.081678	53850.965948
64	 1.40269	 1.22232	 1.78390	 3.89830	 1.32689	 2.70320	 4.51648	 0.06888	 0.10785	 0.85537	20.22321	-1347.856105	-1401750.223597	53894.118322
65	 1.37196	 1.16522	 1.86858	 3.88805	 1.37045	 2.69609	 4.68636	 0.06869	 0.10757	 0.85312	19.98864	-1347.966030	-1401810.089336	53844.059610
66	 1.40627	 1.16854	 1.87390	 4.01917	 1.39910	 2.70376	 4.69970	 0.06249	 0.10788	 0.85555	20.49290	-1348.116675	-1401833.322638	53716.647784
67	 1.41082	 1.23733	 1.82743	 4.16307	 1.47121	 2.71251	 4.71489	 0.06269	 0.10822	 0.85832	20.04431	-1348.082735	-1401758.589575	53675.855012
68	 1.35564	 1.27630	 1.72255	 4.14519	 1.53617	 2.70085	 4.72171	 0.06242	 0.10776	 0.85463	19.96540	-1348.034182	-1401762.543939	53728.361919
69	 1.44212	 1.35512	 1.78724	 4.13309	 1.53168	 2.69297	 4.70793	 0.06224	 0.10744	 0.82649	20.45110	-1347.975119	-1401790.109013	53814.990063
70	 1.50248	 1.39083	 1.84987	 4.18675	 1.45240	 2.75766	 4.69865	 0.07037	 0.10723	 0.84195	20.81677	-1348.306650	-1401829.696251	53523.046659
71	 1.49821	 1.43438	 1.76384	 4.27464	 1.43366	 2.63602	 4.54725	 0.07017	 0.10693	 0.83956	21.45918	-1348.143945	-1401825.445537	53681.500765
72	 1.46766	 1.50065	 1.73085	 4.47175	 1.39860	 2.63602	 4.54725	 0.07017	 0.10693	 0.83956	21.85799	-1347.955898	-1401790.720698	53834.822838
73	 1.40301	 1.56661	 1.83748	 4.47175	 1.39860	 2.63602	 4.36177	 0.07017	 0.11421	 0.82081	21.53412	-1347.728533	-1401801.214231	54072.680990
74	 1.36373	 1.64779	 1.83554	 4.63343	 1.36448	 2.71559	 4.28952	 0.07010	 0.11409	 0.81995	21.02147	-1347.713508	-1401723.827136	54010.319426
75	 1.41855	 1.61606	 1.74203	 4.82822	 1.43177	 2.72513	 4.45342	 0.07034	 0.11449	 0.82283	21.38210	-1347.868069	-1401717.688686	53849.619831
76	 1.42136	 1.61927	 1.74549	 4.83779	 1.48700	 2.87685	 4.31110	 0.07048	 0.11471	 0.82446	21.88619	-1347.996078	-1401722.098057	53726.020252
77	 1.46836	 1.57833	 1.74000	 4.82260	 1.43538	 2.83022	 4.35407	 0.07026	 0.11435	 0.82187	22.24947	-1347.925336	-1401713.168801	53787.832327
78	 1.44772	 1.58479	 1.70872	 5.06036	 1.49689	 2.84180	 4.37189	 0.07055	 0.11482	 0.82523	21.80650	-1348.049835	-1401760.473019	53710.637822
79	 1.39001	 1.64351	 1.65204	 4.87820	 1.49689	 2.84180	 4.37189	 0.07055	 0.10663	 0.82523	21.32246	-1347.999199	-1401729.926379	53730.726881
80	 1.34295	 1.63913	 1.71897	 5.10044	 1.45040	 2.83423	 4.42343	 0.07036	 0.10635	 0.82304	21.77365	-1348.079040	-1401745.165808	53666.125438
81	 1.29393	 1.67585	 1.78878	 4.88119	 1.38454	 2.83423	 4.64247	 0.07036	 0.10635	 0.82304	22.29385	-1348.094303	-1401759.025240	53664.722337
82	 1.26370	 1.74516	 1.88097	 5.08037	 1.42533	 2.82494	 4.62725	 0.07013	 0.10600	 0.85248	22.63304	-1348.265804	-1401739.253088	53473.448666
83	 1.22449	 1.78717	 1.81861	 5.33166	 1.43500	 2.81558	 4.61192	 0.06990	 0.10565	 0.84965	22.30465	-1348.119962	-1401667.451194	53547.489418
84	 1.27649	 1.73726	 1.81528	 5.38532	 1.43500	 2.81558	 4.50535	 0.06364	 0.10565	 0.84965	22.79766	-1348.036701	-1401669.833648	53633.132934
85	 1.24351	 1.65951	 1.91811	 5.66352	 1.53034	 2.71951	 4.77611	 0.06393	 0.10614	 0.85357	22.25057	-1348.123383	-1401690.656467	53567.273829
86	 1.18419	 1.66504	 1.84380	 5.89064	 1.64408	 2.72857	 4.79202	 0.06414	 0.10649	 0.85641	22.65839	-1348.230979	-1401759.675353	53528.696641
87	 1.21232	 1.66773	 1.78614	 6.16869	 1.71295	 2.73297	 4.79975	 0.06425	 0.10508	 0.85779	23.09931	-1348.275403	-1401778.911305	53503.508444
88	 1.21482	 1.73631	 1.71799	 6.30688	 1.81484	 2.73861	 4.80965	 0.06438	 0.10530	 0.85956	22.81426	-1348.295455	-1401749.519432	53454.064541
89	 1.16944	 1.78786	 1.66891	 6.04932	 1.89738	 2.82432	 4.78880	 0.06410	 0.10484	 0.88039	23.25457	-1348.478959	-1401783.425363	53304.466182
90	 1.11972	 1.86705	 1.76962	 6.35903	 1.86539	 2.83170	 4.80130	 0.06427	 0.10512	 0.88269	23.61672	-1348.358891	-1401728.191606	53369.300830
91	 1.08377	 1.76255	 1.76467	 6.22427	 1.88882	 2.72591	 4.78235	 0.06401	 0.10470	 0.87920	24.27882	-1348.339922	-1401789.495063	53449.573268
92	 1.08006	 1.69746	 1.82606	 6.43047	 1.88236	 2.71658	 4.93396	 0.06379	 0.09721	 0.87620	25.03780	-1348.315940	-1401732.586708	53416.647145
