Sample	theta_A	theta_B	theta_C	theta_ANC	theta_ROOT	tau_ANC	tau_ROOT	m_A->B	m_B->A	m_A->C	m_C->A	m_B->C	m_C->B	Complete-ld-ln-avg	Data-ld-ln	Gene-ld-ln
9580	10.04792	 8.66531	 9.50811	10.55719	 9.95704	 1.59339	 2.87484	 0.00350	 0.89433	 0.13148	 0.80083	 0.00001	 0.02076	-1353.985729	-2863460.385852	155488.928514
9590	10.14667	 8.91697	 9.86563	10.33463	 9.84798	 1.56965	 2.86740	 0.00572	 0.90424	 0.10919	 0.80970	 0.00001	 0.01064	-1353.881404	-2863322.460090	155559.651707
9600	10.34733	 8.75565	 9.73583	11.16145	10.15557	 1.59515	 2.91403	 0.00966	 0.89055	 0.10444	 0.79744	 0.00002	 0.02470	-1354.288653	-2863482.948148	154905.641659
9610	 9.84067	 8.48944	 9.22356	 9.59956	10.17834	 1.55197	 2.84840	 0.00784	 0.91533	 0.14838	 0.81963	 0.00001	 0.02424	-1353.786536	-2863464.887772	155891.816164
9620	 9.64792	 8.86165	 9.24321	 9.72789	10.00832	 1.55690	 2.81007	 0.00763	 0.92150	 0.14938	 0.82516	 0.00002	 0.01875	-1354.075610	-2863562.951701	155411.730920
9630	 9.30997	 8.65818	 9.36491	 9.80275	10.17951	 1.56888	 2.80545	 0.00561	 0.91446	 0.14824	 0.81885	 0.00002	 0.00892	-1353.935678	-2863454.621061	155583.265710
9640	10.20737	 8.73490	 9.24038	 9.91118	 9.96985	 1.59365	 2.90492	 0.00116	 0.88604	 0.14514	 0.80172	 0.00010	 0.01239	-1353.903503	-2863382.881299	155575.875300
9650	10.66935	 9.16577	 9.30685	 9.97476	 9.91780	 1.61240	 2.91506	 0.00099	 0.87859	 0.19146	 0.76463	 0.00003	 0.01096	-1353.988049	-2863429.151992	155453.054343
9660	10.02037	 9.43756	 9.18777	10.14321	10.15612	 1.56057	 2.85907	 0.00014	 0.90312	 0.19680	 0.78597	 0.00002	 0.00376	-1354.110013	-2863460.992196	155240.965957
9670	10.77959	 9.61040	 9.06255	10.07826	 9.89555	 1.54996	 2.84785	 0.00007	 0.90930	 0.19815	 0.79135	 0.00005	 0.00146	-1353.813121	-2863336.044783	155709.803635
9680	10.53645	 9.76046	 9.68423	 9.54497	10.06037	 1.57949	 2.90736	 0.00003	 0.89860	 0.17839	 0.78204	 0.00002	 0.00162	-1354.194543	-2863480.260314	155091.174448
9690	 9.11118	 9.20440	 9.46466	 9.89099	10.31457	 1.55623	 2.83450	 0.00005	 0.91945	 0.18252	 0.86000	 0.00001	 0.00112	-1353.759086	-2863490.959969	155972.788231
9700	 9.78326	 9.87102	 8.80359	 9.46255	10.19372	 1.58904	 2.86773	 0.00008	 0.90666	 0.21203	 0.84804	 0.00000	 0.00658	-1353.587440	-2863460.662623	156285.783034
9710	10.34461	 9.97589	 9.03891	 9.63425	 9.92909	 1.62364	 2.90565	 0.00037	 0.88303	 0.20795	 0.83172	 0.00000	 0.00470	-1353.770285	-2863542.061473	156001.491523
9720	10.30378	 9.77977	 9.65736	10.50620	10.01997	 1.66416	 2.96444	 0.00112	 0.86153	 0.20289	 0.81147	 0.00000	 0.00166	-1354.000857	-2863596.057913	155594.344665
9730	10.52487	10.60584	 9.74742	10.72280	 9.89876	 1.65499	 2.97659	 0.00067	 0.85801	 0.20206	 0.84709	 0.00000	 0.00230	-1354.145852	-2863498.015403	155206.311105
9740	 9.87726	 9.69364	 9.75168	10.19783	 9.92339	 1.65541	 2.98136	 0.00168	 0.85588	 0.21334	 0.84498	 0.00000	 0.00680	-1353.911668	-2863414.093205	155590.757853
9750	 9.74789	 9.13455	 9.33182	10.17409	10.22673	 1.60290	 2.91456	 0.00079	 0.88392	 0.28439	 0.87266	 0.00000	 0.01062	-1353.470120	-2863374.926429	156434.686098
9760	 8.95791	 9.27148	 9.22865	 9.51222	10.54309	 1.60839	 2.93415	 0.00114	 0.87802	 0.23089	 0.86683	 0.00000	 0.00669	-1353.444150	-2863400.025580	156511.725440
9770	 8.74316	 9.57082	 8.91374	10.36389	10.05134	 1.59555	 2.90189	 0.00092	 0.88508	 0.23275	 0.87381	 0.00000	 0.00463	-1353.281462	-2863316.347829	156753.423449
9780	10.02386	 8.64475	 8.86527	10.88075	10.16667	 1.57070	 2.89401	 0.00019	 0.89493	 0.23534	 0.88354	 0.00000	 0.00455	-1353.396211	-2863293.201566	156500.780180
9790	 9.32845	 9.16817	 8.64825	10.05414	10.05317	 1.54986	 2.87030	 0.00020	 0.90697	 0.23850	 0.89541	 0.00000	 0.00719	-1353.431611	-2863411.638190	156548.415979
9800	10.00874	 9.17171	 9.23831	10.36650	10.23781	 1.57071	 2.93904	 0.00032	 0.89061	 0.21409	 0.87927	 0.00000	 0.01414	-1353.475814	-2863390.520139	156438.891185
9810	 9.88765	 9.33425	 9.27391	 9.57837	10.03422	 1.53914	 2.86553	 0.00053	 0.90868	 0.15897	 0.89710	 0.00000	 0.02799	-1353.626056	-2863441.509075	156189.397652
9820	10.29730	 9.38104	 9.32783	 9.82446	10.01008	 1.55781	 2.84233	 0.00033	 0.89924	 0.18044	 0.88779	 0.00000	 0.02600	-1353.660844	-2863498.555589	156176.867361
9830	10.24949	 8.98760	 9.56008	 9.92718	10.11475	 1.56245	 2.88913	 0.00039	 0.88994	 0.17857	 0.87860	 0.00000	 0.01675	-1353.818101	-2863457.971208	155821.769491
