Sample	theta_A	theta_B	theta_root	tau_root	tau_A	tau_B	Data-ld-ln	Full-ld-ln	Gene-ld-ln
417	 0.44806	 0.92382	 7.52051	 0.00000	 0.00000	 0.00000	-1214.372000023	-14266.982776929	2123.262776694
418	 0.47114	 0.95793	 7.24667	 0.00000	 0.00000	 0.00000	-1214.337982272	-14272.073731186	2128.693908464
419	 0.45511	 0.96998	 7.22964	 0.00000	 0.00000	 0.00000	-1214.980036166	-14276.248503490	2126.448141834
420	 0.43254	 0.99224	 7.08143	 0.00000	 0.00000	 0.00000	-1218.759234793	-14280.002476951	2092.410129018
421	 0.44037	 0.94123	 6.84402	 0.00000	 0.00000	 0.00000	-1212.218952218	-14268.413415026	2146.223892848
422	 0.46282	 0.90381	 6.57149	 0.00000	 0.00000	 0.00000	-1208.672228592	-14265.981020091	2179.258734167
423	 0.47953	 0.84784	 6.94042	 0.00000	 0.00000	 0.00000	-1210.902719744	-14273.724875557	2164.697678115
424	 0.45619	 0.82356	 6.68980	 0.00000	 0.00000	 0.00000	-1209.907714042	-14272.306144530	2173.229004108
425	 0.47110	 0.87234	 6.87926	 0.00000	 0.00000	 0.00000	-1209.938750162	-14262.803375597	2163.415873978
426	 0.49710	 0.83022	 6.86239	 0.00000	 0.00000	 0.00000	-1211.735121593	-14266.708163875	2149.356947941
427	 0.47147	 0.79401	 7.20022	 0.00000	 0.00000	 0.00000	-1211.180659605	-14271.755281254	2159.948685199
428	 0.48595	 0.83193	 6.99567	 0.00000	 0.00000	 0.00000	-1211.613374847	-14264.420568529	2148.286820057
429	 0.51240	 0.83969	 7.28403	 0.00000	 0.00000	 0.00000	-1211.540562607	-14264.443285737	2149.037659665
430	 0.53113	 0.81119	 7.83597	 0.00000	 0.00000	 0.00000	-1213.505444038	-14264.934489649	2129.880049269
431	 0.53840	 0.82981	 7.85423	 0.00000	 0.00000	 0.00000	-1216.445172556	-14263.499190038	2099.047464475
432	 0.55719	 0.79697	 8.36973	 0.00000	 0.00000	 0.00000	-1218.966330558	-14272.538991484	2082.875685900
433	 0.57387	 0.76897	 8.40659	 0.00000	 0.00000	 0.00000	-1216.812068019	-14264.545973342	2096.425293155
434	 0.55625	 0.74289	 8.42527	 0.00000	 0.00000	 0.00000	-1215.071211700	-14264.914580311	2114.202463311
435	 0.57592	 0.77873	 8.77254	 0.00000	 0.00000	 0.00000	-1218.270952630	-14272.252325531	2089.542799230
436	 0.60175	 0.72631	 8.74269	 0.00000	 0.00000	 0.00000	-1220.972686018	-14271.993884056	2062.267023872
437	 0.57604	 0.68042	 8.43630	 0.00000	 0.00000	 0.00000	-1217.626795020	-14265.860555565	2089.592605365
438	 0.55447	 0.65740	 8.61106	 0.00000	 0.00000	 0.00000	-1218.107174276	-14273.500424557	2092.428681793
439	 0.58721	 0.64411	 8.37946	 0.00000	 0.00000	 0.00000	-1217.993300006	-14262.346128137	2082.413128075
440	 0.59920	 0.62883	 8.81966	 0.00000	 0.00000	 0.00000	-1218.177990441	-14263.593876724	2081.813972313
441	 0.61880	 0.65254	 9.17657	 0.00000	 0.00000	 0.00000	-1218.105321906	-14267.374311077	2086.321092019
442	 0.60929	 0.63916	 9.20070	 0.00000	 0.00000	 0.00000	-1219.879582220	-14264.910289068	2066.114466864
443	 0.58439	 0.62015	 8.78996	 0.00000	 0.00000	 0.00000	-1217.196350051	-14271.234408874	2099.270908363
444	 0.60694	 0.58625	 8.58139	 0.00000	 0.00000	 0.00000	-1217.556956674	-14269.931075139	2094.361508403
445	 0.62841	 0.56314	 8.86717	 0.00000	 0.00000	 0.00000	-1219.522754971	-14265.792799624	2070.565249912
446	 0.66332	 0.54113	 8.53209	 0.00000	 0.00000	 0.00000	-1216.193199376	-14267.644653489	2105.712659728
447	 0.63651	 0.54801	 8.50920	 0.00000	 0.00000	 0.00000	-1216.974568776	-14274.517706016	2104.772018253
