,ref_gene_likelihood,hyp_gene_likelihood,hm_data_likelihood,rbf_ratio
50584,5458.794541373796,5469.511423027347,140046.01194220013,-10.716881653550445
50586,5459.626743481334,5463.209990635398,140070.87315664816,-3.5832471540634288
50588,5375.358719161377,5380.200062990246,140087.2273417725,-4.841343828868958
50590,5399.164253877296,5411.1200539888505,140070.18455053165,-11.955800111554709
50592,5498.828888584543,5502.150865290285,140061.0350463294,-3.3219767057416902
50594,5476.449289856616,5485.401822056299,140065.210307935,-8.952532199683446
50596,5424.202408144698,5431.232658788357,140062.38182050115,-7.030250643659201
50598,5392.39908750778,5407.761716541453,140064.086475701,-15.362629033673329
50600,5439.33387262766,5449.851012038183,140053.79717059864,-10.517139410523669
50602,5464.651806414084,5473.769378473951,140063.7274196622,-9.117572059867598
50604,5409.9779936634095,5417.595197306188,140056.32417173713,-7.617203642778804
50606,5490.935846840143,5497.927642497525,140067.50698514486,-6.991795657381772
50608,5446.378289251026,5452.897593267783,140055.56519006568,-6.519304016756905
50610,5500.566743178753,5508.388723914686,140059.91422689374,-7.8219807359328115
50612,5420.0377550554595,5431.623985589686,140072.20549417613,-11.58623053422616
50614,5422.334921404944,5433.081492575029,140086.51155990164,-10.74657117008519
50616,5483.638955021896,5501.6317999505845,140087.78641075135,-17.9928449286881
50618,5469.27477877353,5484.575290439793,140082.0284934062,-15.300511666263446
50620,5482.363506094502,5500.65644325412,140068.85934501383,-18.292937159618305
50622,5537.986443282387,5561.829308660496,140077.67121216372,-23.84286537810931
50624,5522.283701486489,5547.547441442555,140066.10727560974,-25.263739956066274
50626,5532.890405181703,5555.398413040995,140042.58381006427,-22.508007859292775
50628,5498.444890071163,5525.291568764486,140077.8546121824,-26.846678693323156
50630,5544.013312750101,5563.720661537634,140057.79892916695,-19.707348787533192
50632,5522.978469576221,5541.12838191108,140091.08222077164,-18.149912334859437
50634,5503.658782245637,5525.309394847312,140077.87007314683,-21.650612601675675
50636,5498.480783978736,5525.667400620033,140076.20989896797,-27.186616641296496
50638,5502.362325967669,5530.987927219714,140052.51086162622,-28.62560125204527
50640,5511.84047649143,5540.164331982203,140067.26043823903,-28.323855490772985
50642,5417.15558919503,5445.494353611662,140075.4667913015,-28.33876441663142
50644,5447.540267202053,5478.545708301884,140054.43534782316,-31.005441099830932
50646,5440.260183109204,5473.1905605973725,140064.42761143288,-32.93037748816823
50648,5470.470223115906,5509.028602100617,140066.42005295333,-38.558378984710544
