Sample	theta_A	theta_B	theta_root	tau_root	tau_A	tau_B	Data-ld-ln	Full-ld-ln	Gene-ld-ln
201	23.71484	52.35025	 0.82634	9104.44537	 0.00000	 0.00000	-14800.756157	-135793.457283	-12214.104289
202	24.33987	54.57294	 0.79994	9104.46062	 0.00000	 0.00000	-14752.264187	-135675.325039	-11847.316832
203	24.33987	54.57294	 0.82829	9104.45247	 0.00000	 0.00000	-14751.571381	-135544.107309	-11971.606500
204	25.17205	54.37342	 0.79681	9071.17806	 0.00000	 0.00000	-14721.279120	-135378.867050	-11833.924153
205	25.95205	56.63700	 0.82581	9071.16634	 0.00000	 0.00000	-14671.012964	-135206.869324	-11503.260313
206	26.76895	56.63700	 0.85813	9071.15071	 0.00000	 0.00000	-14644.197104	-135044.971179	-11396.999859
207	26.76895	59.58151	 0.89025	9071.14329	 0.00000	 0.00000	-14613.755815	-134880.385796	-11257.172357
208	26.68586	59.39655	 0.87681	9042.97707	 0.00000	 0.00000	-14612.396619	-134708.414639	-11415.551548
209	27.71698	61.12577	 0.89092	9011.62399	 0.00000	 0.00000	-14564.106098	-134495.962407	-11145.098576
210	28.72598	61.76661	 0.93940	8978.53493	 0.00000	 0.00000	-14526.292258	-134183.457980	-11079.464599
211	29.44561	61.76661	 0.96824	8978.54056	 0.00000	 0.00000	-14503.086078	-133966.098414	-11064.762368
212	30.61949	61.76661	 0.94270	8978.54668	 0.00000	 0.00000	-14468.235938	-133800.179353	-10882.180031
213	30.55081	64.13666	 0.90797	8958.39676	 0.00000	 0.00000	-14446.968032	-133670.089792	-10799.590524
214	30.55081	64.13666	 0.87139	8958.40725	 0.00000	 0.00000	-14439.546913	-133413.302945	-10982.166187
215	30.55081	64.13666	 0.83207	8958.42129	 0.00000	 0.00000	-14439.699958	-133205.226182	-11191.773396
216	32.02638	63.93808	 0.80169	8930.67638	 0.00000	 0.00000	-14402.926581	-133225.771590	-10803.494220
217	32.02638	63.93808	 0.81666	8930.68360	 0.00000	 0.00000	-14402.841873	-133109.030251	-10919.388482
218	32.02638	66.00288	 0.86660	8930.67424	 0.00000	 0.00000	-14381.344546	-132826.838070	-10986.607390
219	33.13533	65.76012	 0.83323	8897.83699	 0.00000	 0.00000	-14351.331097	-132759.842306	-10753.468668
220	33.85805	65.76012	 0.84834	8897.84554	 0.00000	 0.00000	-14333.150791	-132590.874293	-10740.633618
221	33.85805	65.76012	 0.88107	8897.83752	 0.00000	 0.00000	-14332.263929	-132425.789533	-10896.849755
222	33.71926	69.01160	 0.82743	8861.37591	 0.00000	 0.00000	-14306.153692	-132421.986639	-10639.550276
223	33.65654	70.35753	 0.78355	8844.90060	 0.00000	 0.00000	-14295.353198	-132245.224085	-10708.307890
224	34.70891	72.74487	 0.74753	8815.10541	 0.00000	 0.00000	-14250.796573	-132064.608812	-10443.356923
225	35.33419	74.10110	 0.72085	8815.10062	 0.00000	 0.00000	-14226.018921	-131891.209017	-10368.980190
226	35.24781	77.56095	 0.68938	8793.55453	 0.00000	 0.00000	-14201.780456	-131716.690741	-10301.113815
227	37.58753	77.56095	 0.70590	8793.56819	 0.00000	 0.00000	-14153.220432	-131565.244732	-9966.959592
228	38.59071	77.56095	 0.70590	8793.58135	 0.00000	 0.00000	-14135.865745	-131347.724575	-10010.932872
229	38.54490	77.46888	 0.73739	8783.15337	 0.00000	 0.00000	-14134.724085	-131171.951295	-10175.289554
230	40.06077	77.46888	 0.70974	8783.14588	 0.00000	 0.00000	-14104.850778	-131121.167425	-9927.340355
231	39.94636	80.02717	 0.74815	8758.05523	 0.00000	 0.00000	-14087.500326	-130999.228531	-9875.774731
232	41.94102	80.02717	 0.79795	8758.06574	 0.00000	 0.00000	-14050.178021	-130788.499480	-9713.280726
233	41.94102	82.58513	 0.79795	8758.06899	 0.00000	 0.00000	-14032.189084	-130684.876388	-9637.014451
234	42.49486	83.60150	 0.81773	8735.85878	 0.00000	 0.00000	-14016.657012	-130619.709189	-9546.860932
