Sample	theta_A	theta_B	theta_root	tau_root	Data-ld-ln	Full-ld-ln	Gene-ld-ln
2621	 0.32619	 3.19023	 9.08213	 0.00000	-1326.506167383	-14260.873160213	995.811486387
2622	 0.30934	 3.02316	 9.52456	 0.00000	-1326.451659636	-14261.750755636	997.234159275
2623	 0.31951	 2.83752	 9.21339	 0.00000	-1327.367251238	-14268.358537666	994.686025291
2624	 0.30912	 3.04193	 8.55388	 0.00000	-1326.924023872	-14260.955053087	991.714814372
2625	 0.32007	 2.91250	 7.98509	 0.00000	-1325.689551629	-14263.845782757	1006.950266470
2626	 0.30947	 3.06395	 7.81423	 0.00000	-1323.456044902	-14258.071443485	1023.510994468
2627	 0.32268	 2.95530	 8.04898	 0.00000	-1323.917248992	-14257.829956178	1018.657466255
2628	 0.32076	 3.03860	 8.54064	 0.00000	-1325.948186000	-14266.901517014	1007.419657013
2629	 0.30869	 2.85946	 8.91722	 0.00000	-1328.586855805	-14263.632969228	977.764411180
2630	 0.31723	 2.78324	 8.50563	 0.00000	-1329.396272803	-14271.577176556	977.614448528
2631	 0.32481	 2.86543	 8.88634	 0.00000	-1327.533069701	-14267.587465485	992.256768475
2632	 0.34524	 2.95307	 8.85891	 0.00000	-1325.750090983	-14250.734099288	993.233189461
2633	 0.35073	 2.80730	 9.19373	 0.00000	-1327.757325730	-14261.606582060	984.033324755
2634	 0.34400	 2.81198	 9.20906	 0.00000	-1325.645749471	-14255.026514710	998.569019996
2635	 0.32802	 2.69340	 9.75258	 0.00000	-1325.908662732	-14261.394060787	1002.307433464
2636	 0.33790	 2.64947	10.03004	 0.00000	-1329.912790315	-14264.985523139	965.857619991
2637	 0.35224	 2.71271	10.21576	 0.00000	-1330.088473165	-14263.112889086	962.228157439
2638	 0.35794	 2.64311	10.17622	 0.00000	-1330.153353184	-14272.596381989	971.062850152
2639	 0.36421	 2.69254	10.12475	 0.00000	-1328.137713889	-14262.823845410	981.446706524
2640	 0.38238	 2.51909	 9.84867	 0.00000	-1329.133100309	-14261.837333018	970.506329931
2641	 0.40007	 2.43425	10.22239	 0.00000	-1328.371922266	-14265.285915367	981.566692707
2642	 0.41775	 2.57942	10.71106	 0.00000	-1330.243003782	-14266.111863351	963.681825531
2643	 0.39400	 2.42626	10.26489	 0.00000	-1329.579838843	-14280.804600814	985.006212386
2644	 0.40652	 2.46208	 9.87710	 0.00000	-1328.470613065	-14269.060571994	984.354441343
2645	 0.42199	 2.58762	 9.89856	 0.00000	-1328.687928431	-14270.676598996	983.797314683
2646	 0.40490	 2.56046	 9.86765	 0.00000	-1329.267662215	-14261.415100568	968.738478422
2647	 0.41860	 2.50403	 9.88834	 0.00000	-1329.135173607	-14262.675567310	971.323831238
2648	 0.40807	 2.65018	10.41674	 0.00000	-1328.724175577	-14259.798356482	972.556600715
2649	 0.42025	 2.81875	 9.94216	 0.00000	-1327.906851947	-14258.502298787	979.433779313
2650	 0.42283	 2.69870	10.31774	 0.00000	-1328.488313882	-14259.111875952	974.228737130
2651	 0.43584	 2.62777	10.03218	 0.00000	-1327.933419699	-14259.284423472	979.950226479
2652	 0.42043	 2.52195	10.33215	 0.00000	-1329.398877803	-14260.033007525	966.044229499
2653	 0.41018	 2.66234	10.95536	 0.00000	-1329.426924136	-14260.532128153	966.262886789
2654	 0.39550	 2.55316	10.94452	 0.00000	-1326.703619678	-14251.244805921	984.208609146
2655	 0.38582	 2.62346	10.91510	 0.00000	-1327.700720179	-14257.928449123	980.921247331
2656	 0.40657	 2.52248	10.88010	 0.00000	-1326.588666321	-14256.790582298	990.903919089
2657	 0.42127	 2.54572	10.90835	 0.00000	-1328.472515957	-14265.607512168	980.882352594
2658	 0.43421	 2.44937	10.63691	 0.00000	-1329.011523493	-14264.820567717	974.705332783
2659	 0.41814	 2.53846	10.26343	 0.00000	-1329.392135605	-14266.046321789	972.124965740
2660	 0.43180	 2.51294	10.51175	 0.00000	-1328.971336282	-14272.873955778	983.160592963
2661	 0.40966	 2.57642	10.48005	 0.00000	-1330.589748408	-14269.986455908	964.088971825
2662	 0.39659	 2.75877	10.94387	 0.00000	-1329.270037978	-14267.042971847	974.342592069
2663	 0.40396	 2.81796	10.60134	 0.00000	-1327.430617543	-14260.754748103	986.448572670
2664	 0.40170	 2.68812	10.58439	 0.00000	-1327.186027648	-14252.058677481	980.198400996
2665	 0.42386	 2.62490	10.39948	 0.00000	-1329.109980320	-14250.576545248	959.476742047
2666	 0.43706	 2.54324	10.95311	 0.00000	-1328.879799842	-14256.070654094	967.272655674
2667	 0.46040	 2.46234	11.32655	 0.00000	-1330.545253695	-14260.555963349	955.103426402
2668	 0.48107	 2.53738	10.45157	 0.00000	-1329.107259913	-14264.120849834	973.048250704
2669	 0.50625	 2.57093	10.89299	 0.00000	-1328.724649828	-14255.329105096	968.082606818
2670	 0.48585	 2.41730	10.54652	 0.00000	-1327.030037502	-14254.393011274	984.092636252
2671	 0.47565	 2.55305	11.21679	 0.00000	-1327.335365481	-14256.890356566	983.536701758
2672	 0.45428	 2.61905	10.97610	 0.00000	-1328.624849790	-14261.807095938	975.558598042
2673	 0.43613	 2.51793	11.33451	 0.00000	-1325.823204400	-14257.960703103	999.728659101
2674	 0.45869	 2.67605	11.94131	 0.00000	-1327.401215481	-14263.161527625	989.149372816
2675	 0.47305	 2.57494	11.99903	 0.00000	-1328.520944379	-14266.782206297	981.572762507
