Sample	theta_A	theta_B	theta_C	theta_AB	theta_root	tau_AB	tau_root	m_C->A	Complete-ld-ln-avg	Data-ld-ln	Gene-ld-ln
2015	 7.74692	 9.43948	10.39169	12.75091	 9.61577	 1.12831	 3.25522	499.31925	-1348.799775	-2864488.085249	166888.534391
2016	 7.95644	 9.42595	10.37678	12.73263	 9.60198	 1.12669	 3.25055	500.03637	-1348.858003	-2864467.405571	166751.400292
2017	 8.09513	 9.50556	10.34711	13.14308	 9.57451	 1.12346	 3.27257	493.08662	-1348.729114	-2864438.713386	166980.486321
2018	 8.07747	 9.07570	10.32452	12.74429	 9.68584	 1.12101	 3.26543	494.16511	-1348.915583	-2864441.282617	166610.116602
2019	 8.05941	 9.05541	10.30144	12.71580	 9.66418	 1.11851	 3.29239	495.27253	-1348.738851	-2864471.440088	166993.738827
2020	 8.03682	 9.03003	10.27257	12.68016	 9.63709	 1.11537	 3.28316	487.93981	-1348.869801	-2864518.596639	166778.994028
2021	 8.42944	 8.99969	10.63858	12.63755	 9.60471	 1.11162	 3.27213	478.33046	-1348.888115	-2864502.826909	166726.596296
2022	 8.11389	 8.98244	10.61819	12.61334	 9.58631	 1.10949	 3.26586	477.20510	-1348.982350	-2864477.316975	166512.617706
2023	 8.14148	 9.01298	10.65429	12.65622	 9.61890	 1.11327	 3.27696	475.58827	-1349.202341	-2864481.994769	166077.311980
2024	 8.14148	 9.01298	10.82568	13.21373	 9.36588	 1.11327	 3.27696	468.13491	-1349.274555	-2864532.390297	165983.279508
2025	 8.17137	 9.04607	10.86543	13.26225	 9.40026	 1.11735	 3.28900	474.16795	-1349.222023	-2864557.968529	166113.923102
2026	 8.13896	 9.01019	10.82233	13.20964	 9.36298	 1.11292	 3.27595	471.90216	-1348.881671	-2864566.200488	166802.858930
2027	 8.17127	 8.72063	10.86530	13.26209	 9.40015	 1.11734	 3.28896	480.42408	-1348.957658	-2864509.023987	166593.707191
2028	 8.46455	 8.74917	10.90086	13.30550	 9.43092	 1.12100	 3.29972	473.41220	-1348.978477	-2864494.621233	166537.667925
2029	 8.44096	 8.72479	10.87049	13.26842	 9.40464	 1.11787	 3.28250	474.73499	-1349.064519	-2864438.736002	166309.697204
2030	 8.46817	 8.75291	10.90553	13.31120	 9.43496	 1.12148	 3.25962	473.20954	-1348.923620	-2864473.067008	166625.826233
2031	 8.15261	 8.71588	10.85940	12.81578	 9.39504	 1.11673	 3.27516	479.61417	-1349.006213	-2864474.646264	166462.220508
2032	 8.35373	 8.80739	10.81651	12.76517	 9.35794	 1.11232	 3.26222	473.70578	-1348.896931	-2864524.407163	166730.545558
2033	 8.74092	 8.76951	10.76998	12.93419	 9.31769	 1.10754	 3.24819	473.58582	-1348.813246	-2864411.082642	166784.591548
2034	 8.75839	 9.07140	10.79151	12.96005	 9.33631	 1.10975	 3.25468	480.07885	-1349.081864	-2864434.606565	166270.878179
2035	 8.72254	 8.81643	10.68498	12.90700	 9.15054	 1.10521	 3.21753	488.91100	-1348.728427	-2864461.771240	167004.916495
