Sample	theta_A	theta_B	theta_C	theta_D	theta_AB	theta_ABC	theta_root	tau_AB	tau_ABC	tau_root	Data-ld-ln	Full-ld-ln	Gene-ld-ln
112	 1.19063	 1.89166	 0.99781	 6.83504	 1.64144	 3.96461	 4.63153	 0.08069	 0.09975	 0.95368	-1349.405002062	-1401853.281762132	52448.279700432
113	 1.19063	 2.01759	 0.99781	 6.70031	 1.71442	 3.96461	 4.63153	 0.07840	 0.09975	 0.94606	-1349.048007153	-1401809.742541094	52761.735387631
114	 1.20814	 1.95842	 0.99451	 6.26540	 1.62625	 3.95146	 4.52057	 0.07814	 0.09942	 0.94292	-1349.272954239	-1401818.535895082	52545.581656292
115	 1.26988	 2.05795	 0.96264	 6.50926	 1.56143	 3.94357	 4.51154	 0.07798	 0.09922	 0.94104	-1349.177792839	-1401772.573450866	52594.780611857
116	 1.32489	 2.00902	 0.98976	 6.16623	 1.49578	 4.00001	 4.65405	 0.07780	 0.09899	 0.91876	-1349.214655666	-1401791.480705106	52576.825039547
117	 1.36995	 1.96470	 0.96147	 6.19913	 1.56735	 3.89820	 4.67889	 0.07822	 0.09952	 0.90237	-1349.154556099	-1401823.295389473	52668.739290100
118	 1.33061	 1.96775	 0.92644	 6.20876	 1.49000	 3.90425	 4.68616	 0.07834	 0.09967	 0.90377	-1349.096839760	-1401758.300968721	52661.461208938
119	 1.33521	 2.06181	 0.96771	 6.49362	 1.57747	 3.91775	 4.70236	 0.07861	 0.10002	 0.90690	-1349.204591982	-1401791.287058088	52586.695076387
120	 1.38088	 2.19242	 0.97080	 6.26059	 1.55427	 3.93022	 4.71733	 0.07886	 0.10034	 0.90978	-1349.384734655	-1401768.511130601	52383.776475478
121	 1.47004	 2.18624	 0.94135	 6.24294	 1.49133	 3.79629	 4.70403	 0.07864	 0.10005	 0.90722	-1349.227233992	-1401766.949247718	52539.715255484
122	 1.41965	 2.26345	 0.97522	 5.84025	 1.51364	 3.78646	 4.69185	 0.07843	 0.09979	 0.90487	-1349.130027568	-1401775.647928837	52645.620360750
123	 1.35450	 2.33194	 0.97194	 5.82330	 1.44284	 3.77372	 4.61780	 0.07817	 0.09946	 0.90182	-1349.140745210	-1401714.809970846	52574.064760455
124	 1.37784	 2.24923	 1.00323	 5.83988	 1.53342	 3.87447	 4.63094	 0.07839	 0.09974	 0.92882	-1349.240165802	-1401728.453381587	52488.287579318
125	 1.31114	 2.17361	 1.03392	 5.54559	 1.52376	 3.85617	 4.60908	 0.07802	 0.09927	 0.92444	-1349.096107467	-1401716.894481475	52620.787014024
126	 1.30653	 2.29097	 0.98024	 5.59779	 1.57330	 3.62463	 4.65968	 0.07775	 0.09892	 0.89044	-1348.869134549	-1401755.464710470	52886.330161746
127	 1.30405	 2.34241	 0.97838	 5.81209	 1.59336	 3.61773	 4.65081	 0.07541	 0.09873	 0.88875	-1349.013883511	-1401719.077688279	52705.194177187
128	 1.28023	 2.28924	 1.01177	 5.79787	 1.54049	 3.60888	 4.63943	 0.07522	 0.09849	 0.88657	-1348.974372826	-1401747.440914050	52773.068087587
129	 1.30597	 2.24719	 1.01511	 5.81702	 1.59026	 3.62080	 4.81626	 0.07547	 0.09882	 0.88950	-1349.108412394	-1401766.615331876	52658.202938227
130	 1.26717	 2.17718	 1.01792	 5.83311	 1.53847	 3.63081	 4.82958	 0.08023	 0.09909	 0.89196	-1349.107750816	-1401787.008606318	52679.257789927
131	 1.30024	 2.25110	 1.04423	 5.98951	 1.46806	 3.62040	 4.81573	 0.08000	 0.09881	 0.88940	-1349.114517535	-1401798.001527844	52683.483992937
132	 1.35743	 2.39817	 1.04154	 6.25898	 1.41607	 3.61110	 4.80335	 0.07979	 0.09855	 0.88712	-1349.220619812	-1401824.950984730	52604.331172724
133	 1.35533	 2.33163	 1.06282	 6.07985	 1.49818	 3.60549	 4.79590	 0.07967	 0.09840	 0.89961	-1349.126259770	-1401727.083295907	52600.823526135
