Sample	theta_A	theta_B	theta_root	tau_root	Data-ld-ln	Full-ld-ln	Gene-ld-ln
609	 0.48866	 4.04514	1094.46465	 0.00000	-9289.481220242	-92015.365374123	-879.446828300
610	 0.46540	 4.24816	1127.50604	 0.00000	-9285.435376984	-92016.779015833	-837.574754002
611	 0.48095	 4.24408	1086.55374	 0.00000	-9290.853980768	-92030.278935185	-878.260872497
612	 0.50551	 4.43023	1082.59330	 0.00000	-9290.878473623	-92033.225423867	-875.559312367
613	 0.53421	 4.62565	1107.45886	 0.00000	-9289.656743345	-92034.579940451	-861.987492997
614	 0.51207	 4.55108	1132.93402	 0.00000	-9285.537459759	-92016.856696227	-838.517901362
615	 0.48872	 4.31427	1128.13306	 0.00000	-9285.010099521	-92017.834756310	-832.266238895
616	 0.51695	 4.09280	1125.25735	 0.00000	-9286.116780515	-92027.234274127	-833.933531028
617	 0.48907	 3.94775	1120.87259	 0.00000	-9286.357295663	-92031.064141754	-832.508814880
618	 0.46838	 3.77890	1085.54318	 0.00000	-9290.594512628	-92042.789351743	-863.155774536
619	 0.48374	 3.89056	1146.01643	 0.00000	-9284.030934123	-92043.966012752	-796.343328478
620	 0.49292	 3.98919	1093.05149	 0.00000	-9290.007293396	-92044.894137153	-855.178796803
621	 0.52258	 3.76139	1093.05149	 0.00000	-9289.546332363	-92041.406926704	-854.056396928
622	 0.55367	 3.61202	1144.22118	 0.00000	-9282.682874669	-92024.701699924	-802.127046763
623	 0.57644	 3.77255	1120.97724	 0.00000	-9284.108243398	-92015.377157359	-825.705276618
624	 0.60499	 3.98466	1102.97374	 0.00000	-9286.520806507	-92020.563909855	-844.644155214
625	 0.62115	 3.92613	1105.04967	 0.00000	-9286.472161959	-92022.441779439	-842.279840150
626	 0.65761	 3.77020	1100.11659	 0.00000	-9286.015631549	-92011.603312510	-848.553002979
627	 0.69211	 3.60429	1131.10102	 0.00000	-9282.836125345	-92006.108946515	-822.252306931
628	 0.72887	 3.61699	1135.08820	 0.00000	-9282.534892128	-92002.062536682	-823.286384600
629	 0.71239	 3.74105	1090.45509	 0.00000	-9286.758940283	-92002.344914984	-865.244487844
630	 0.71780	 3.96187	1116.00467	 0.00000	-9284.678711785	-92007.551759309	-839.235358541
631	 0.72878	 3.78010	1113.50136	 0.00000	-9285.614866827	-92019.975840490	-836.172827782
632	 0.69190	 4.01552	1087.06419	 0.00000	-9288.591498797	-92014.514336409	-871.400651557
633	 0.66088	 3.85774	1090.71574	 0.00000	-9289.334306741	-92019.603772973	-873.739294439
634	 0.62753	 3.98974	1093.77819	 0.00000	-9288.918490539	-92009.376141072	-879.808764322
635	 0.65676	 4.23875	1111.38549	 0.00000	-9286.394965988	-92011.680266839	-852.269393040
636	 0.63318	 3.96030	1110.58661	 0.00000	-9286.041181630	-92014.731987092	-845.679829204
637	 0.63970	 4.09001	1108.71059	 0.00000	-9286.639229816	-92024.854434231	-841.537863927
638	 0.61511	 3.96695	1143.45247	 0.00000	-9283.024012767	-92015.069791618	-815.170336056
639	 0.64108	 4.21835	1147.55591	 0.00000	-9283.759936494	-92028.171694110	-809.427670831
640	 0.61970	 4.06928	1151.64444	 0.00000	-9282.728010662	-92021.643698307	-805.636408313
641	 0.59672	 4.08316	1155.57437	 0.00000	-9282.636573766	-92021.466733399	-804.899004256
642	 0.57329	 3.96309	1152.62808	 0.00000	-9282.294131057	-92014.536144429	-808.405166145
643	 0.55215	 3.72733	1125.95299	 0.00000	-9285.498316917	-92015.142821317	-839.840347853
644	 0.57133	 3.56324	1125.95299	 0.00000	-9286.171277836	-92021.294762946	-840.418015414
645	 0.55454	 3.43864	1123.60605	 0.00000	-9284.730880451	-92013.445423911	-833.863380597
